,user_id,age,gender,current_role,years_of_experience,current_industry,previous_roles,key_skills,certifications,desired_role,preferred_industry,short_term_goal,long_term_goal,learning_style,time_available_per_week,motivation_level,recommended_skills,gender_encoded,learning_style_encoded,current_role_encoded,current_industry_encoded,previous_roles_encoded,desired_role_encoded,preferred_industry_encoded,short_term_encoded,long_term_encoded,key_skills_encoded,recommended_skills_encoded,certifications_encoded,certifications_imputed,recommended_skills_imputed,key_skills_imputed,long_term_imputed,short_term_imputed,desired_role_imputed,previous_roles_imputed,current_industry_imputed,current_role_imputed,preferred_industry_imputed
0,1,52,Female,Content Writer,13.4,Marketing,"Software Engineer, Content Writer, Marketing Specialist","Project Management, Data Analysis, SEO, Python",,Data Scientist,Marketing,Upskilling,Expertise,Collaborative,10,6,Leadership,0,0.0,487,609,8,615,647,1033,1002,5,156,,71.79954441913439,156.0,5.0,1002.0,1033.0,615.0,8.0,609.0,487.0,647.0
1,2,47,Female,Software Engineer,4.6,Healthcare,"Content Writer, HR Manager, Software Engineer","Leadership, Cloud Computing, Java, Data Analysis, SEO","AWS Certified, Scrum Master, Google Analytics",Team Lead,Marketing,Role Switch,Leadership,Collaborative,28,2,"Python, SEO",0,0.0,466,610,3,557,647,961,992,1,21,26.0,26.0,21.0,1.0,992.0,961.0,557.0,3.0,610.0,466.0,647.0
2,3,49,Male,Entrepreneur,1.6,Marketing,HR Manager,"Leadership, Data Analysis, Cloud Computing, Project Management, Python","Scrum Master, Google Analytics, PMP",Business Consultant,Healthcare,Upskilling,Entrepreneurship,Collaborative,10,3,"Data Analysis, Leadership",1,0.0,490,609,202,576,583,1033,1006,1,33,31.0,31.0,33.0,1.0,1006.0,1033.0,576.0,202.0,609.0,490.0,583.0
3,4,37,Female,Entrepreneur,15.1,Finance,HR Manager,"Cloud Computing, SEO",,Creative Director,Education,Role Switch,Leadership,Hands-on,11,9,"SEO, Data Analysis",0,1.0,490,593,202,612,577,961,992,19,24,,71.79954441913439,24.0,19.0,992.0,961.0,612.0,202.0,593.0,490.0,577.0
4,5,47,Female,Software Engineer,6.3,Finance,Entrepreneur,"Leadership, Project Management",,Business Consultant,Healthcare,Role Switch,Expertise,Hands-on,29,5,"Python, Data Analysis",0,1.0,466,593,193,576,583,961,1002,26,26,,71.79954441913439,26.0,26.0,1002.0,961.0,576.0,193.0,593.0,466.0,583.0
5,6,44,Female,HR Manager,18.4,Education,"Data Analyst, Software Engineer, Content Writer","Project Management, SEO, Data Analysis",,Data Scientist,Marketing,Promotion,Entrepreneurship,Hands-on,19,1,"Cloud Computing, Project Management, Data Analysis",0,1.0,475,577,13,615,647,1006,1006,8,5,,71.79954441913439,5.0,8.0,1006.0,1006.0,615.0,13.0,577.0,475.0,647.0
6,7,50,Male,Software Engineer,7.7,IT,"Entrepreneur, Software Engineer","Python, Project Management, Data Analysis",Scrum Master,Team Lead,Healthcare,Role Switch,Expertise,Hands-on,15,7,SEO,1,1.0,466,611,27,557,583,961,1002,4,147,157.0,157.0,147.0,4.0,1002.0,961.0,557.0,27.0,611.0,466.0,583.0
7,8,30,Female,Entrepreneur,19.0,Marketing,"Entrepreneur, Data Analyst, Content Writer","Python, SEO, Data Analysis, Java, Project Management",,Business Consultant,Healthcare,Promotion,Expertise,Reading,8,7,Data Analysis,0,2.0,490,609,16,576,583,1006,1002,4,148,,71.79954441913439,148.0,4.0,1002.0,1006.0,576.0,16.0,609.0,490.0,583.0
8,9,50,Male,Marketing Specialist,15.0,IT,Entrepreneur,"SEO, Cloud Computing, Leadership","PMP, Scrum Master",Creative Director,IT,Role Switch,Leadership,Hands-on,20,1,"Data Analysis, Cloud Computing",1,1.0,539,611,193,612,622,961,992,2,27,50.0,50.0,27.0,2.0,992.0,961.0,612.0,193.0,611.0,539.0,622.0
9,10,47,Female,Data Analyst,16.8,Finance,"Entrepreneur, Content Writer, Data Analyst","Java, Data Analysis, Cloud Computing, Leadership","AWS Certified, PMP",Creative Director,Marketing,Promotion,Expertise,Reading,9,7,"Java, Data Analysis",0,2.0,543,593,20,612,647,1006,1002,1,20,61.0,61.0,20.0,1.0,1002.0,1006.0,612.0,20.0,593.0,543.0,647.0
